GENDER,STRATUM,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,PROMEDIO
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,85,71,63,72,92,75
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,48,56,43,51,54,51
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,48,44,47,61,48,50
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,52,56,52,53,53
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,62,56,55,43,54
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,62,76,78,92,77
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,53,57,70,62,61
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,58,60,45,58,75,60
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,71,66,70,76,71
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,60,61,60,54,59
M,Stratum 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,76,71,74,91,78,79
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,56,59,61,54,58
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,62,61,78,82,71
F,Stratum 4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,60,61,71,62,64
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,50,58,52,52,75,59
F,Stratum 3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,44,54,56,55,40,51
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,67,56,68,64,64
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,62,66,72,82,71
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,62,71,81,88,76
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,75,68,81,85,77
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,60,59,75,80,69
M,Stratum 4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,TECHNICAL,47,36,41,44,40,40
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,65,62,59,66,54,60
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,51,39,60,55,51
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,60,76,71,92,75
M,Stratum 5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,67,81,56,73,78,72
F,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,65,51,45,63,55,54
M,Stratum 3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,TECHNICAL,54,49,42,55,40,47
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,69,63,58,61,50,58
F,Stratum 2,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,63,62,57,56,64,60
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,64,65,61,64,78,67
F,Stratum 5,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,60,60,59,67,70,64
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,75,61,81,96,78
M,Stratum 3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,TECHNICAL,69,67,78,100,62,77
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,60,61,61,59,60
M,Stratum 5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,47,29,56,54,47
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,81,61,75,82,75
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,60,65,70,75,68
M,Stratum 5,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,74,62,56,64,73,64
M,Stratum 2,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,PRIVATE,TECHNICAL/ACADEMIC,69,62,68,73,46,62
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,51,51,61,53,54
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,67,68,58,75,67
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,67,58,59,58,78,63
F,Stratum 2,No,No,No,Yes,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,81,68,66,73,72
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,58,56,61,49,56
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,75,68,70,71,71
F,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,55,59,58,55,57
F,Stratum 2,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,67,57,63,44,58
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,63,56,72,88,70
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,49,59,63,92,66
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,67,68,81,80,74
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,73,68,63,72,82,71
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,58,39,64,76,59
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,60,65,64,78,67
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,62,56,65,71,64
M,Stratum 6,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,72,65,56,66,96,71
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,60,49,44,64,54
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,51,54,48,48,39,47
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,51,49,48,57,59,53
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,60,57,68,80,66
F,Stratum 1,No,No,No,Yes,No,No,No,Yes,Yes,No,PRIVATE,ACADEMIC,55,68,56,55,62,60
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,62,59,75,88,71
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,52,48,61,82,61
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,81,83,85,92,85
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,74,62,68,75,88,73
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,54,54,45,55,49,51
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,52,36,49,64,50
F,Stratum 2,No,No,No,No,No,Yes,Yes,No,No,Yes,PRIVATE,ACADEMIC,46,67,53,58,100,70
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,57,45,51,40,48
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,62,59,64,75,65
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,55,66,64,80,66
M,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,53,51,52,73,57
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,61,60,59,55,76,63
M,Stratum 5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,75,53,75,88,73
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,43,48,68,85,61
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,81,68,81,82,78
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,62,45,64,70,60
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,75,61,81,100,79
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,67,64,68,88,72
F,Stratum 3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,62,53,50,52,49,51
F,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,65,76,85,92,80
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,67,75,72,78,96,80
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,64,59,75,96,74
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,62,57,63,82,66
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,75,61,70,92,75
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,77,75,72,75,88,78
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,62,57,75,82,69
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,39,57,61,48,42,52
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,53,55,46,60,54
M,Stratum 3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,58,58,48,60,50,54
M,Stratum 6,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,65,68,78,85,74
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,81,78,100,96,89
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,48,53,49,52,50,51
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,67,60,74,64,82,70
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,71,66,72,88,74
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,55,47,72,85,65
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,60,67,56,75,85,71
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,56,48,66,80,63
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,71,61,68,100,75
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,51,59,68,96,69
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,60,64,71,76,68
F,Stratum 3,No,No,No,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,64,55,63,58,60
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,78,68,56,82,64,68
F,Stratum 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,PRIVATE,TECHNICAL,62,62,68,60,52,61
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,46,49,47,51,59,52
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,75,72,78,92,79
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,57,49,57,76,60
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,58,68,61,71,65
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,60,47,48,58,76,57
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,62,50,70,88,68
F,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,54,65,68,82,67
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,56,56,74,92,70
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,68,65,68,96,74
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,60,59,78,67,66
M,Stratum 1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,50,47,45,41,43,44
F,Stratum 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,63,54,53,65,57,57
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,PRIVATE,ACADEMIC,54,49,39,51,55,49
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,75,74,91,88,82
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,76,60,66,70,96,73
F,Stratum 5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,50,51,55,57,60,56
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,83,71,65,78,76,73
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,62,53,67,68,63
F,Stratum 1,No,No,No,No,No,No,No,No,Yes,No,PRIVATE,ACADEMIC,47,43,45,46,46,45
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,68,60,76,92,74
F,Stratum 5,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,65,71,66,81,73,73
M,Stratum 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,51,60,42,49,58,52
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,58,57,57,68,50,58
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,51,58,56,48,49,53
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,51,51,45,38,40,44
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,72,65,56,68,80,67
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,67,53,63,62,61
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,PRIVATE,ACADEMIC,62,71,68,68,62,67
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,88,67,61,73,82,71
F,Stratum 3,No,No,Yes,No,No,No,No,Yes,Yes,No,PRIVATE,TECHNICAL,56,57,57,60,59,58
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,44,49,49,57,38,48
F,Stratum 5,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,PRIVATE,TECHNICAL/ACADEMIC,60,49,59,60,40,52
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,52,55,51,55,44,51
M,Stratum 1,No,No,No,No,No,No,No,No,No,No,PRIVATE,ACADEMIC,53,50,50,58,52,53
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,62,62,56,60,67,61
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,52,62,58,51,54,56
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,50,45,55,64,46,53
M,Stratum 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,58,64,61,62,64,63
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,79,69,69,80,82,75
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PUBLIC,TECHNICAL,68,67,69,67,55,65
F,Stratum 3,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,TECHNICAL/ACADEMIC,53,57,52,51,52,53
M,Stratum 2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,PUBLIC,ACADEMIC,62,59,57,58,65,60
M,Stratum 3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,53,56,52,53,55,54
M,Stratum 3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,57,61,70,49,59
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PUBLIC,ACADEMIC,55,51,65,61,53,58
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,60,57,55,53,56
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,91,64,72,81,73,73
M,Stratum 2,No,No,No,No,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,57,64,66,61,53,61
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,57,57,68,54,59
F,Stratum 3,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,67,72,64,60,66
M,Stratum 3,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,44,49,52,47,43,48
F,Stratum 3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,PRIVATE,ACADEMIC,59,64,59,58,68,62
F,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,51,56,57,51,68,58
M,Stratum 3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,PUBLIC,TECHNICAL,80,57,58,72,52,60
M,Stratum 1,No,Yes,No,No,No,No,Yes,Yes,Yes,No,PUBLIC,ACADEMIC,77,72,77,81,60,73
